id,BG,AG,HA,ED,HE,SE
9114,2,3,2,3,3,0
9115,2,2,0,6,3,1
9116,0,2,0,0,0, 
9117,2,2,2,3,3,2
9118,0,0,2,8,0,0
9119, ,1,0,2,0,2
9120,2,1,2, ,2,0
9121, ,0,0,5,0, 
9122,2,4,2,2,1, 
9123,1,0,1,2,2, 
9124,0, ,2,1,3,1
9125,0,0,2,1,0,0
9126,0, ,1,4, ,0
9127,0,3,2, ,2,0
9128,2,4,0,8,2,1
9129,1,3,2,8,0,1
9130, ,2,1,9,0,1
9131,0,3, ,7,3, 
9132,1,0,1,1,2,0
9133, ,2,0,8,1,2
9134,0,2,0,4,3, 
9135,2,2,1,4,2,1
9136,1,0,1,6,3,1
9137,0,1,0,1,1, 
9138,0,3,1, ,0,1
9139,0,1, ,2,1,0
9140,0,3,0,0,1,1
9141,1,4,0,1,2,2
9142,1,3,2,8,0,0
9143,1,0,0,5,2, 
9144,1,3, ,7,2,1
9145, ,1,2,10,2,0
9146,1,1,2,0,2,2
9147,0,0,1,8,2,0
9148,1,2,1,0,1,0
9149,0,0,1,1,0,0
9150,2,4,1, ,3,1
9151,1,2, ,10,3,2
9152,0,0,2, ,1,1
9153,2,1,2,9,2,0
9154,2,2,0,7,0,0
9155, ,2,0,7,2,1
9156, ,4, ,0,2,0
9157,0,4,2,1,0,0
9158,2,2,1,10,2, 
9159,0,0,1,0,2,0
9160,0,0,1,9,3,2
9161,1,2,0,1,2,1
9162,2, ,0,3,2,2
9163,2,2,0,9, ,2
9164,2, ,0,10,0,1
9165, ,1,2,8,1, 
9166,0,3,1,1,3,2
9167,1,1, ,8,1,0
9168,2,1,2, ,1,0
9169,2,1,2,8,3, 
9170,0,4,1,7,3,2
9171,1,0,2,10,0,0
9172,0,1,2,10,1,0
9173,0,0,2, , ,0
9174, ,0, ,2, ,2
9175,0,2,1,4,1,2
9176,1,4,0,7,2,2
9177,2,3,2,6,0,2
9178, ,3, ,1, ,1
9179,2,2,0,3,3,1
9180,2,2,1,5,0,0
9181,0,2,2,7,0, 
9182,0,1,2,1,2,2
9183,2, ,2,1,1,1
9184,1,4,1,3,0,2
9185,2,0,1,0,0,2
9186,2,2,1,3,3,0
9187,1,0,1,0,3,0
9188,2,4,2,4,3,0
9189,2,1,1,5,2,1
9190,1,2,1, ,2,2
9191,2,0,2,6,1,2
9192, ,1,0,5,1,0
9193, ,0,0,9,3,2
9194,2,0, ,1, ,1
9195,1, ,1,6,1,1
9196,0,0,2,9,0, 
9197, ,3,1,10,2,2
9198, ,4,1,4,0, 
9199,0,0,1,1,2,1
9200, ,4,0,2,2, 
9201, ,3,1,2,2,1
9202,0,2,1,8,0,0
9203,1,2,2,7,0,1
9204,1,4, , ,2,1
9205,2,0,2,6,1,0
9206,0,1,2, , ,2
9207,2, ,1,3,0,0
9208,0,2, ,9,1, 
9209,0,3,1,0,3,0
9210,1,1,1,5,1,0
9211,1,3,0,2,0,1
9212,2, ,2,3,1, 
9213,0,4,2,5,2,2
9214,2,1,1,2,0,1
9215,1,2,0, ,2,1
9216,1,3,1,6,2,0
9217,0, ,1,1,0,0
9218,0,1,0,3,0,0
9219,0,3,0,9,2,0
9220, ,4,1,2,2,0
9221,0,2, ,2, , 
9222,0,2,2,7, ,1
9223,2,4,0,6,3, 
9224,2,4,1,3,2,0
9225,1, ,1,0,2,1
9226,1,2,2,5,1,0
9227,2,1,1,9,2,1
9228,1,2,2,9,3,0
9229,2,0,2,6,0,0
9230,2,0,0,1,0,1
9231,0,3,2,10,1,1
9232,0,0,1,2,1,2
9233,2,4,1,6,1,2
9234,1,0,1,10,1,1
9235,2,2,2,4,2,1
9236, ,4,1,1,0,0
9237,0,4,2,9,0,0
9238,0,0,2,10,3,1
9239,2,4,2,4,1,1
9240,0,3,1,1,2,1
9241, , ,1,9,0,0
9242,0,4, ,0,1,1
9243,0,3,2,5,1,1
9244,2, ,1,3,0,1
9245, ,0,2,7, ,0
9246,1,0,2,10,3,0
9247,1,2,0,5,2,1
9248, ,1,1,3,1,1
9249,2,2,1,6,1,2
9250,1,2,1,8,0,2
9251,2, ,2,10,3,0
9252,1,0,0,2, ,2
9253,1,3,2,1,0,1
9254,2,2, , ,1, 
9255,2,0,0,5,3,1
9256,1,4,1,2,0,0
9257,2,3,1,2,3, 
9258, ,4,0,8,1,2
9259,0,4,2,3, ,1
9260,1,2,1,10,0,2
9261,1,3,0,3,0,0
9262,1, ,2,8,3,1
9263,2,3, ,3,0,1
9264,1,2,2,1,1,2
9265,2, ,0, ,3,0
9266,1,0,2,5,0, 
9267, ,4,1,2,2,1
9268,1,2,2, ,0,0
9269,2,0,0,7,3,2
9270,1,0,2,4,2,2
9271, ,2,1, ,1,0
9272,2,3,0,10,0,0
9273,2,2,1,8,3,2
9274,0,0, ,1,1,1
9275,1,3,1,9,3,0
9276,1,4,2,8,1,0
9277,2,0,1,5,1,2
9278,1,2,2,6,3,1
9279,2,1,2,5,3,1
9280,2,2,0,1,2, 
9281,0,0,2,10, ,1
9282,1,0,2,0,0,2
9283,0,0,2,8,3,1
9284,1,0,2,8, ,1
9285,2, ,1,7,1,1
9286,1,1,0,7,0,2
9287,1,2,1,2,0, 
9288,2,4,1,6,1,0
9289,0,0,0,7,0,0
9290, ,2,2,2,1,1
9291,1,1,2, ,0,2
9292,0,3,1,9,1,0
9293,0,2,0,6,0,0
9294,1,4,1,3, ,0
9295,0,0,2, ,2,0
9296,2,3, ,6,3,0
9297,2, ,0,7,3,0
9298,2,4,0,8,0,0
9299,1,1,0,9,1,1
9300,2,2,0,2, ,2
9301,2,0,2,4,3,0
9302,2,1,1,0,1,2
9303, ,3,2,2,2, 
9304,0,1,0,10,0,0
9305, ,2,0,8,1,2
9306,1,1,0,6,3,2
9307,2,4,1,0,3,2
9308,0,4,1,4,0, 
9309,2,0,2,9,2,1
9310,0, ,1,1,0, 
9311, ,4,1,6,3, 
9312,0,4,0,7,2,2
9313,2,1,1,3,3,2
9314, ,0,1,0,0,1
9315,1,2,1,2,1, 
9316,2,4,0,2,0,1
9317,0,4,0,7,1,2
9318,0, ,0,0,2, 
9319,2,0,2,3,1,0
9320,1, ,0,9,1,0
9321,2, ,2,8,3, 
9322,2,2,2,3,2, 
9323,1,1,1,6,2,0
9324, ,4,1,5,1,0
9325,0,1,1, ,1,1
9326,0,1,1,0,2,0
9327,2,1,1,2,0, 
9328,2,2,0,4,0,1
9329, ,3,0,3,3,0
9330,2, ,0,8,3,1
9331,2,1,1,1,3,1
9332, , ,0,7,1,0
9333,1,3,0,2,1,1
9334,1,1,2,6,0,2
9335,2,4,2,4,0,0
9336,1,3,2,10,0,2
9337,1,4,1, ,1,2
9338,0, ,1,1,3,0
9339,1,3,2,6,0,1
9340, ,0,1,4,3,0
9341,0,3,0,10,3,1
9342,1,4,2,10,0,0
9343,0,4,2, ,3,0
9344,1,3,0,6,0,2
9345,1,4,1,3,2,1
9346,2,4,1,1,2,2
9347,1,0,2,5,1,0
9348, ,1,0, ,1,0
9349,0,0,0,2,2,1
9350, ,4,0,5,3,0
9351,0,1,1,10,0,0
9352,2,3,2, ,2,0
9353,2,3,0,5,0,1
9354,2,4,1,5,3,2
9355,2,1,1,2,3,2
9356,1,3,2,8,0,2
9357, ,2,2,8,0,0
9358,2,1,0,0,0,2
9359,1,1,0,2,3,0
9360,0,0,0,2, ,2
9361,0,2,2, ,3,0
9362,1,4, ,8,3,1
9363,1,3,2,0,2,1
9364,1,0,2,8,0,0
9365,0,4,1,7,3,1
9366,2,4,0,4,3,1
9367,1,2,2,6,3,0
9368,2,1,0,10,0,1
9369,0,2,2,0, ,0
9370,0,1,2, ,3,1
9371,0,4,0,10,0,1
9372,0,2,2,2,2,1
9373,0,1,1,4,3, 
9374,0,1,2,1,3,2
9375,1,2,1,1,1,0
9376,2,2,0,9,2,0
9377,0,3,1,10,1,2
9378,0,1,2,7, ,2
9379,2, ,1,0,3,2
9380,1, ,0,8,1,1
9381,1,3,2,9,2, 
9382,2,2,1,6,0,0
9383,0,3,0,5,3,0
9384,1,3,0,0,3,2
9385,0,1,1,10,3,1
9386,1,1,2,4,3,0
9387,1,1,0,10,1, 
9388,0,0,0,4, ,1
9389,2,4,1,5,3,0
9390,0,1,2,10,0,1
9391,1,3,0,4,3,0
9392,0,4,0, ,1,2
9393,1, ,0,1, ,2
9394,2,1,0,8,2,1
9395,2,1, ,4,3,2
9396,0,2,0, ,1,2
9397,1,1,1,10,2,2
9398, ,3,1,5, ,0
9399,0,1,2, ,2,2
9400,1,0,2,2,3,0
9401,0,3,1, , ,1
9402,1,0, ,2,0,1
9403,2,1,2,3,1,2
9404,2,3,1, ,3,0
9405,0,2,2,0,2,2
9406,0, ,2,6,2,1
9407,0,0,1,0,2,2
9408,2, ,1,4, , 
9409,1,1,1,6,3,0
9410,0,3,1,10,2,1
9411,0,3,0,8,2,1
9412,2,4,2,9,3,0
9413,1,4,2,0,3, 
9414,2,0,1,8,2,1
9415,1,3,2,8,1,0
9416,1,0,2,7, ,1
9417,0,0,1,8,0,2
9418,1,4,2,5,1,0
9419,1,0, ,3,1,2
9420,2,0, , ,3,2
9421,0, ,1,9, ,2
9422,1,0,0,1,1,2
9423,0,0,0,8,1,2
9424,1,3,0,2,2,2
9425,1,2,1,8,2,2
9426,0,1, ,6, , 
9427,1,4,0, ,2,1
9428,0,1,2,8, ,0
9429,0,3,2,3,3,0
9430,2,1,1,0,3,1
9431,1,3,0,1,3,0
9432,0,3,1,10,0,1
9433,0,3,1, ,3,2
9434,0,2,2,7,0,2
9435,2, ,2,4,0,1
9436,1,0,2,3, ,0
9437,1,0,0,10,1,2
9438,0,2,0,3,0,0
9439,0,3,0, ,1,1
9440,0,2,2,5,1,0
9441,1,1,0,2,1,2
9442, ,1,2,2,2,2
9443,2,3,1,9,2,2
9444,2,3,2,3,0,0
9445,2,3,0,1,3,0
9446,0,0,0,8,0,0
9447,2,2,2, ,1,0
9448,0,1, ,0,1,2
9449,1,2,2,1,2,1
9450,1,2,1,3,1,0
9451,1,1,0,1,1,1
9452,1,1,2,6,3,1
9453,0,1,2,10,0,1
9454, ,3,2, ,3,1
9455,2,1,1,10,1,2
9456,1, ,0,4,3,1
9457,0,2,0,7,1,0
9458,0,4,1,5,3,2
9459,2,1,0,8,0,1
9460,1,2,2,3,2,2
9461,1, ,1, ,2,0
9462,1,2,0,8,3,1
9463,0,4,1,4,0, 
9464,0,2,1,0,1,1
9465,1,1,2,8,0,1
9466,1,1,1,9,0,1
9467,2,1,1,5,1,2
9468, ,1,0,3, ,1
9469,0,1,1,8,0,1
9470,2,3,0,10,2,1
9471,2,4,1,0,0,0
9472,0,3,2,10,3,1
9473,1,4,0,7,0,0
9474,2,1,0,0,0,1
9475,1,3,0,7,1,2
9476,2,3,2,5,0,2
9477,2,0,0,1,2,1
9478, ,3,1,7,2, 
9479,1,4,2,0,1,0
9480,2,2,1,9, ,0
9481,0,1,2,3,1,2
9482,2,1,0,7,1,2
9483, ,4, ,7,1,2
9484,1,1, , , ,0
9485,2, ,2,8,1,1
9486,1,0,1,4,2,1
9487, , ,1,5,3,2
9488,2,1,2,3,0,2
9489,1,2,0,1,2,0
9490,2,3,0,5,2,1
9491,0,3,0,1,0, 
9492,2,0,1,7,0,2
9493,1,2,2, ,1, 
9494,0,3, ,6,1,1
9495,1,2,0,4,0,1
9496,1,1,1,4,3,1
9497,1,0,1,8,1,0
9498,0,3,0,9,3,1
9499,0,3, ,0,3,2
9500,1,3, ,4, ,2
9501,2,1, ,8,1,2
9502,2,2,0,8,1,2
9503,2,0,0,0,3,1
9504,2,1,0, ,0,0
9505,0,4,1,4,3,0
9506,0, ,0,9,3,2
9507,1,4,2,5,2,0
9508,0,0,0,3,1,2
9509,2,4,2, ,3,0
9510,2,0, , ,2,0
9511,0,0,2, ,3, 
9512,0,3,1,7,0, 
9513,1, ,0,6,3,0
9514,1,1,2,7,0,0
9515,2,3,2,10,0, 
9516,1,1,0,0,1,1
9517,1,2,1, , ,1
9518,0,3,1,9,3,1
9519,0, ,2,4,3, 
9520,2, ,0,3,0,0
9521,1,0,2,8,1,1
9522, ,1,0, ,0,1
9523, ,2,2, , , 
9524,1,4,1, ,2,0
9525,1,2,2, ,0,1
9526,0,1, ,4, ,0
9527,0, ,2,0,0, 
9528,2,0, ,3,1,2
9529, ,2,0,3,1,1
9530,0,1,2,7,1, 
9531,2,4,2,4,1,0
9532, , ,1,4,0,1
9533,2,4,1,9,2, 
9534,1,3,1,1,1,1
9535,0,1,2, , ,1
9536,2,3,2,2,1,1
9537,2,3, ,8,2,0
9538,1, ,0,7,2,1
9539,1, ,0,7,2,2
9540,0,1,0,7,2,2
9541,1,4,0,1,1, 
9542,0,3,1,10,2,0
9543,2, , , ,2,1
9544,1,3,0,6,3,1
9545,0,1,1,10,0, 
9546,0,3, ,2,0,2
9547,2,1,1,8,2,0
9548,0, ,2,6,3,0
9549,1,2, ,7,1,0
9550,0,4,1,10,0,2
9551,0,2, ,7,2,2
9552,0,1,0,1,0,2
9553,2,0,1,2,1,0
9554,0,4,0,0,1,0
9555,2,0,1,7,0,1
9556, ,4,1,2,1,2
9557,1,2,1,1,1,0
9558, ,4,1,10,0,1
9559,1,2,0,6,0,1
9560, , ,1,7,3,2
9561,1,1,2,3,3,0
9562,0,1, ,7,0,2
9563,1, ,1,10,3,2
9564,0,2,0,6,2,2
9565,1,2,1,10,0,0
9566,1,1,0,9,1,1
9567,2,1,0, ,0,2
9568, , ,0,3,0, 
9569,0,0,1, ,2,1
9570,0,1,1,5,1, 
9571,2,4,2,6,2,1
9572,1,2,0,0,1,0
9573,1,3,2,3,3,2
9574,2,1,2, ,0,2
9575,2,1,0, ,1,1
9576,2,1,1,1,2,0
9577,1, ,2,9,0,0
9578,0, ,2,1,3,1
9579,1,3,1,1,0,2
9580,0,1,0,5,3,0
9581,1,4,1,5,3,2
9582,0,4,0,10,2,0
9583, ,3,2,6,1,1
9584,0,4,0, ,2,1
9585,2,3,2,7,1,0
9586,0,0, , ,3,2
9587,1,0,2,1,1,0
9588,1,1,1,6,2,1
9589,0,2,2,2,0, 
9590,1,3, ,6,1,1
9591,0,1,0,8, ,1
9592,2,0,0,5,2,1
9593,2,2,2,5, ,2
9594,0,0,1,7,3,0
9595,1,2,1,1,2,1
9596,1,3,0,2,0,0
9597,1,2,2, ,1,1
9598,2,1, ,6,3,2
9599, ,2,0, ,0,1
9600,2,4,2,7,3,2
9601, , ,0,1,3,1
9602,1,4,1,7,1,0
9603,0, ,1,10,3,2
9604,1,2,0,5,1,2
9605,2,1,0, ,1,2
9606,2,1,0,6,1,0
9607,2, ,1,1,2,2
9608,0,0,0,8,1,0
9609,2,3,0,4,0,0
9610,0, ,0,8,3,0
9611,1,2, ,1,3,2
9612,0,4,2,10,0,2
9613,1,0,2,10,3,2
9614,2,4,0,4,0,0
9615,0,3, ,8,2,2
9616,1,4, ,0,2,0
9617,1, ,1,6,2,0
9618,0,3,2,7,3,2
9619,0,1, ,0,0,2
9620,0, ,2,1,1,1
9621,2,0, ,7,3,2
9622,1,2,0,0,0,2
9623,0,3,2,6,2,2
9624, ,1,1,6,0,1
9625,2,0, ,1,3,0
9626,2,1,1, ,1,1
9627,0,3,0,4,1,0
9628,1,1,2,1,0,0
9629,0,4, ,4,0,0
9630,1, ,1,0, ,2
9631,1,3,1,7,3,0
9632,1,4, ,6,0,0
9633,2,3,2,9,2,2
9634,2,1,0,4,1,0
9635, ,4,0, ,3,1
9636,1,3, ,6,2,2
9637,2,3,1,3,0,2
9638,0,3, ,5,0,2
9639,1,2,1,1,0,1
9640, ,4, ,2,0,2
9641,1,4, ,10,0,2
9642,0,4,1,4,0,2
9643,2,4,1,9,3,2
9644,0, ,2,5,3,1
9645,1,0,2,2,0,2
9646,0, ,2,9,3,0
9647,1,0,0,7,0,2
9648,2,3,0,7,0,0
9649,0,0,0,7,1,1
9650,2,3,2,9,2,2
9651,0,0,2,3,3,1
9652,1,0, , ,2,1
9653,0,1,2,3,0,2
9654,2,1,2,9,3, 
9655,0,0,1, ,3,2
9656,1,1,1,8, ,2
9657,2,4,0,6,1,0
9658,1,2,0,6,0,0
9659,0,1,2,10,2,2
9660,2,3,0,5,3, 
9661,1,1,2,10,1,2
9662,0,3,0,9,1,2
9663,1,0,1,9,1,1
9664,0,2,1,2,0, 
9665,0,0,0,7,2,1
9666, ,1,2,9,3,1
9667,0, ,2,1,0,0
9668,0,3,2,9,1,0
9669,1,1, ,0,3,0
9670,0,2,1,10,2,0
9671,2,0,2,8,3,1
9672,1,1,0,9, ,0
9673,2,2,0,0,2,1
9674,1,0,0,3,3,1
9675,0, ,2,2, ,2
9676,1, ,2,4,1,2
9677,0,4,0,0,0,1
9678,2,2,2,5,2,0
9679,0,0,0, ,1,2
9680,2,0,2,8,1,0
9681,2,1,1,5,3,1
9682,1,4,0,0,2,1
9683, ,2,2,0,2,0
9684,1,4,2,0,0, 
9685,0,2,1,1,2,1
9686,1, ,1,5,0,2
9687,1,0,1,2,0,2
9688,0,4,2,7,2,0
9689,2,1,1,3,0,1
9690,0,4,2,5, , 
9691,1,0,0,3,0,1
9692,2,2,0,0,2,2
9693,1,3,0,0,3, 
9694,2,0,2,2,2,0
9695,2,4,2,1,2,2
9696,0,3, ,10,0,1
9697,2,3,0,8,0,0
9698,2,0,2,7,1,0
9699,1,1,2,2,0,1
9700, , ,0,10, ,2
9701,2,1,2,4,2,1
9702,2,1,1, ,2,2
9703,0,1,1,6,2,1
9704,0,0,0,10,2,1
9705,2,2,1,9,2,2
9706,2,3,0, ,2,1
9707,2,2, ,1,3,0
9708,1,0,1,5, ,2
9709, , ,1,8,1,1
9710,1,0,1,4,1,0
9711,2,0,1,9,2,1
9712,1,2,2,0,1,2
9713,0,4,0, ,3,2
9714,1,2, ,10,0,2
9715, ,3,0,6,2,0
9716,0,0,0,4,0,1
9717,2,4,1,3,0,2
9718,2,2,1,6,2,2
9719,0,4,0,3, ,0
9720,0, ,1,8,1,1
9721,0,0,0,10, ,1
9722,0,1,1, ,2,1
9723, ,4, ,9,1,0
9724,0,4,2,8,3,0
9725,1,2,0,6,2,1
9726,1,4,1,6,1,1
9727,0,0,1,9,2,1
9728,2,2,1,9,1,1
9729,0, ,2,5,0,1
9730,1,1,2,9,2,2
9731,0,4,2,6,0,1
9732, ,0,0,10,3,1
9733,0, ,0,3,0,2
9734,0,3,0,4,2, 
9735,2,0,0,3, ,0
9736,0,3,1,2,3, 
9737,2,0,1,8,0,0
9738,2,2,0,6, ,0
9739,0,0,2, ,2,1
9740,1,0,1,10,2,1
9741,0,4,2,9,2,0
9742,0,1,2,3,0,1
9743,1,1,2,3, ,1
9744, , , ,10, ,2
9745,1,4,1,10,1,2
9746,1,2, ,10,1,2
9747,0,4,0,0,3,2
9748,1,3,2,8,2,1
9749,2,4,2,6, ,2
9750,2,3,2,3, ,1
9751,1,3,0,1,1,1
9752,1,2, ,6,0,2
9753,1,4,2,7,0,2
9754,0,1,1, ,0,2
9755,0,0,0,3,1, 
9756,2,4,1,7,0, 
9757,0,2,0,6,3,0
9758,2,4, ,7,0,2
9759,2,4,1,6,1, 
9760,0,0,1,6,2,2
9761,1,1,2,6,1,1
9762,2,4,1,10,3,1
9763,0,4,0,10,1,2
9764,0, ,2, ,2,1
9765,1,4, ,10,0,2
9766, ,2,1,9,3,1
9767,0,2,2,4,0,1
9768,2,3,1,6,0,0
9769,1,1,1,8,3, 
9770,0,3,2,8,1,1
9771,2,3,0,3,1,0
9772,0,3,1,6,2,1
9773, ,1,0,1,1,2
9774,1,0,0, ,2,2
9775,1,0, , ,2,0
9776,0,2,1,8,3,1
9777,1,0,1, ,2,1
9778,1,3,0,1,3, 
9779,0,0,0,9,2,0
9780,0, ,0,10,3,2
9781,2,2,1,5,1,1
9782,0, ,2,2,3,2
9783,2, ,0,9,0,1
9784,0,0,0,3,3,1
9785, ,3, ,9,0,2
9786,1,4,2,5,0, 
9787,2,0, ,4,0,0
9788,1, ,2,8,1, 
9789,2, ,0,4,3,1
9790,2,1,1,2,1,0
9791,1, , ,7, ,1
9792,0,1,1,2,0,0
9793,0,1,1,5,1,1
9794,1, ,1, , ,0
9795,2,1, ,6,1,2
9796,2,2,0,0,2,2
9797,0,3,2,5,1,2
9798,2,0,2,8,2, 
9799,2,3,0,10,3, 
9800,1,0,0,3,2,1
9801,2,3,1,9,0,0
9802, ,4,2,9,2,2
9803,0,4,1,7,2,1
9804,2,3,2,6,3,0
9805,1,0, ,7,3,2
9806,0,4,1,8,0,0
9807,0,1,2,9,0,1
9808,1,2,0,3,3,1
9809,0,0,2,8,0,1
9810, ,0, ,2,3,0
9811,1,0,0, ,3, 
9812,1,2,2,7, ,2
9813,2,1,0,6,0,0
9814,2,4,1,10,3,1
9815,2,4,2,1,0,2
9816,1,1,2,7,0,0
9817,2,3,0, ,2,0
9818, ,2,1,9,2, 
9819,1,2,2,8,0,0
9820,2,0, ,6,0,1
9821,0,3,2,4,2,0
9822,0,2,2,4,2,1
9823,2,3,0,4,1,0
9824,2,0,0, ,2,1
9825, ,1,1,5,1,2
9826,1,0,0,3,2,1
9827,1,2,0,0,2,0
9828,1,0,2,1,0,0
9829,1,0,2,1,0,0
9830,0,1,1,7,2,0
9831,1,4,2,2,1,0
9832,0,1, ,6,3, 
9833,0,4,2,2,0,2
9834,1,2,2,1,2,2
9835,0,3,0, ,0, 
9836,1,3,2,2,1,1
9837,2,3, ,8, ,0
9838,2,0, ,4,3,0
9839,0,2,2,8,0,0
9840, ,3,2,2,2,2
9841, ,2,1, ,0,2
9842,1,4,1,4,0,2
9843,2,0,2,9,1,0
9844,2,2, , ,3,0
9845,0,2,0,3, ,2
9846,1,4,1,10,1,1
9847,1,3,0,10,2,2
9848,0,0,2,8,0, 
9849,0,0,2,2,2,2
9850,1,3,2,8,3,1
9851,0,3,2,8,1,1
9852,2,3,1,7,2,2
9853,1,4,0,10,0,2
9854,2,4,2,4,0,2
9855, ,4,0,10,1,2
9856,1, ,1,9,0,0
9857,2,1,2,1,3,2
9858,1,3,0,7, ,0
9859,2,1,0,0,1,2
9860,0,2,1,9,0,1
9861, , ,1,6,2,0
9862,0,3,1,0,3,1
9863,2,3,2,2,2,2
9864,0, ,2,10,1,2
9865,0,4,1,8, , 
9866,0,2,0,0,2,2
9867,0,3,1,0,0,2
9868,0,1,1,2,2,2
9869,2,1,0,0,1,2
9870,2,0, ,3,2,2
9871,2,0,0,5,3,1
9872,2,1,0,6,2,2
9873,1, ,1,6,0,1
9874,1,2,2,0,1,2
9875,2,1,2,8,1,0
9876,2,1,0, , ,0
9877,1,3,0,2,0,2
9878,2,3,2,6, ,0
9879,0, ,2,1, ,0
9880,2,1,1,8,3,1
9881,2,3,1,3,3,2
9882,2,0,2,2,3,0
9883, ,1,2,10, ,0
9884,1,1,1,10, ,0
9885,1, ,1,7,0,2
9886,0,3,1,1,2,2
9887,1,4, ,7,0,1
9888,1,3,2,2,1,1
9889,1,2,1, ,1,2
9890,1,2, ,8,1,2
9891,1,0,1,9,1,1
9892,1,4,0,5, ,1
9893,2,3,1,3,3,2
9894,0,0,2,9,0,2
9895,1,3,1, ,2,2
9896,1,0,0,4,2,2
9897,2,3,0,6,2,2
9898,2,4,1, ,1,2
9899,0,0,2,3,0,2
9900,2,4,0,0,0,2
9901,2,4,2,5,1,2
9902,2,2,0,10,2,0
9903,1,4,1,8,0,1
9904, ,2,0,1,3,0
9905,1,3,0,4,1,2
9906,0,0,2,0,3,2
9907,2,2,0,7,3, 
9908,1,4,1,6,1,2
9909,0,4,2, ,3,2
9910,2, ,0,6,0,2
9911,2,4,2,6,0,0
9912,2,4,2,8,3,2
9913,1, ,1, ,3,0
9914,1,1,0,3,2,1
9915,1, ,0, ,2,0
9916,2,2,1,5,1,1
9917,2,1,0,1,1, 
9918,0,4,0,4,1,1
9919, ,1,2,4,1,2
9920,1,1,1,2,2,0
9921,2,1,2,7, ,1
9922, ,2,1,4,1,2
9923,2,0,1,0,0,0
9924,0,2,1,4,1,1
9925,0,0,0, ,3,0
9926,1,3,0,0,2,0
9927,0,3,1,4,2,0
9928,1,0,1,9,1,0
9929,1,1,0,1,1,0
9930,0,1,1,0,1,0
9931,0,0, ,2,3,0
9932, ,3,0,9,1,1
9933,1,3,2,8,2,2
9934,2,0, ,0,0,0
9935,1,0,2,3, ,2
9936,2,2, ,10,0,0
9937,0,2,0,10,1,2
9938,1, ,1,5,0,1
9939,0,3,2,5,0,2
9940,1,0,0,5, ,1
9941,1,2,1,8,3,1
9942,0,3,0,3, ,1
9943,0,3,1,0, ,0
9944,2,0,1,1,3,0
9945,0,2,1,2,3,0
9946,1,3,0, ,1, 
9947,1,1,1,6,0,0
9948,2,3,0, ,1,2
9949,0,1,0,5,3,2
9950,0,2,1,1,1,0
9951,0,4,2,9, , 
9952,0,2,0,3,1,0
9953,2,4,0,10, ,0
9954,2,3,2,5,0,1
9955,2,0,1,2,3,2
9956,2,3,1,7,0,2
9957,0, ,0,7,2,2
9958,0,1,0,7,2, 
9959,2,4,1,0,2,0
9960,1,1,2, ,1,1
9961,0,3,0,7,0, 
9962,2,2,1,8,3,0
9963,2,4,0,9,2,1
9964,1,3,2,5,1,0
9965,2,1,1,2,0,0
9966,2,1,0,0,1,2
9967,2,0,1, ,2,0
9968,0,4,0,5,1, 
9969,1,2,2,5,2,0
9970,1,4,2,1,3,1
9971,2,4,2,4,3,1
9972, ,4, , ,1,1
9973, ,2,0,1,3, 
9974,1,1,0,9,0,2
9975,0,3,1, ,2,1
9976,2,4,2,9,3,1
9977,2,3, ,6,0,1
9978,1,2,2,8,0,2
9979,2,0,2,0,3, 
9980,2,1,0,5,2,0
9981,0,4,2,6,1,0
9982,2,2, ,9,2,1
9983, ,1,2,2,2,1
9984,0,2,1,9,1,2
9985,2,4,0,5,0,0
9986,0,1,2,0,0,1
9987,2,0,1,8,1,0
9988,1,3,0, ,3,2
9989,1,3,0,9,0,0
9990, ,3,1,9,1,0
9991,1,4,1,9,3,1
9992,0,4,0,3,2,2
9993,0,3,0,1,1,1
9994, , , ,5,3,2
9995,1,1,0,7,2,0
9996,2,4,2, ,3,1
9997,1,3,2,1, ,2
9998,1,2,2,0,0,1
9999,0,0,0,5,0,0
10000,1,0,1,1,3,1
10001, ,3,2,6,0,1
10002,0,4,0, ,2,1
10003,2,1,0,6,1,2
10004,0,3,0,9,1,1
10005,1,0,2,4,2,0
10006,1,2,0,9,3,1
10007,1,2,1,4,2, 
10008,2,0,1,0,2,2
10009,0,3,2,8, ,0
10010, ,4,2,5, ,2
10011, ,1,1,7,0,0
10012,2,4,0,10,1, 
10013,2,0,1,0,2,0
10014,0,1,0,7, ,1
10015,1,1,2,10,2,0
10016,1,2,1,1,0,1
10017,1,4,2,4,3,2
10018,1,4,2, ,0, 
10019,1,1,1,4, ,2
10020,2,3,0,3,0,1
10021,0,3,2,0,1,2
10022,2,0,1,8,3,1
10023,1,3,2,3,2,2
10024,2,1,2,10,2,0
10025,1,2, ,8,0,1
10026, ,3,1,3,1,0
10027,1,4,1,1,1,1
10028,2,2,1, ,1,0
10029,1,1,0,4,1,0
10030,1,1,0,2, ,0
10031,1,1,2, ,1,1
10032,2,0,2,8,1,1
10033,0,2,2,7,1,0
10034,1,2,1, ,2,1
10035,2,2,2,1,3,2
10036,0, ,1,1,2,1
10037, ,3,2,9,0,1
10038,0,0,2,6,3,2
10039,2,3,1,10,0,1
10040,0,4,1,1,3,0
10041,2,0,0,10,2,2
10042, ,0,2,5,1,2
10043,0, ,2, ,1, 
10044,2,4,2,2,3,1
10045,2,2,0,0,3,2
10046,0,1,1, ,1,1
10047, ,3,2,0,3,1
