id,BG,AG,HA,ED,HE,SE
40207,1,1,0,3,3,1
40208,1,2,0, ,3, 
40209,2,2,0,4,1,0
40210,2, ,0,4,2,2
40211,0,0,0,2,2,2
40212,2,2,2, ,1,1
40213,0,2,2,0,1,1
40214,0,2,0,10,1,2
40215,0,2,1,7,1,2
40216,1,4,0,10,2,1
40217,1,0,2,4, ,0
40218,0,0,1, ,3,0
40219,2,4,1,1, , 
40220,2,3,2,4,1,1
40221,2,1,0,0,0,0
40222,0,3,1,9,2,0
40223, ,4,0,0,3,0
40224,1,0,0,5,1,0
40225,1,3,0, ,3, 
40226,2,4,2,4,2,1
40227, ,3,1,9,1,1
40228,0,0,0,9,3,2
40229, ,1,0,5,0,2
40230,0,1,0,10,2,2
40231,1,0,2,2, ,1
40232,0,2,0,3,1, 
40233,0,1, ,6,3,1
40234,2,1,2,5,0,1
40235,2,2,0,10, ,1
40236, ,2,0,2,2,0
40237,1,4,2,2,3,0
40238,1,4,2,0,1,0
40239,1,2,1,7,3,0
40240,2,4,0,10,0,1
40241,0,2,2,5,2,2
40242,1, ,1,1,2,0
40243,1,4,1,3,2,2
40244,2,0, ,0,2,0
40245,2,3,0,2,2,2
40246,0,1,2,4,1,1
40247,2,3,0,4, , 
40248, ,3,1,3, ,1
40249,2,2,2,9, ,1
40250,0,2,2,4,3, 
40251,0,4,1,9,3, 
40252,2,4,1,8,3,1
40253,1, ,2,4,1,1
40254,1,2,0,8,3,2
40255,2,3,2,4,3,0
40256,2,3,1,1,1,1
40257,0,1,0,2, ,2
40258,1,4,0,2,1, 
40259,2,2,1,1,2, 
40260, , ,0,7,1,2
40261,1, ,2,10,0,2
40262,2,3, ,9,2,2
40263,0,1, ,4,3,0
40264,0,3,1,4, ,1
40265,0,0, ,8,0,2
40266,0,3, ,10,3,1
40267,0,0, ,7,1,1
40268,2,2,1,1,0,0
40269,1,1,2,10,2,2
40270, ,4,2,1,1,0
40271,0,4,1,10,1,2
40272,2,1,0, ,1,2
40273, ,4,1,7,3,0
40274, ,4,1, ,1,0
40275,0,2,1, ,0,2
40276,2,1,1,0,2,0
40277,2,0,1, ,2,1
40278,0,3,0,6,0,0
40279,1,0,2,5,1,2
40280,2,2, ,1,2,2
40281,0,0,0, ,3,1
40282,0,2,1, ,1,2
40283,1,2,0,4,0, 
40284,2,0, ,4,1,1
40285,0,0,0,7,2,1
40286,1,0,2,10,2,2
40287,1,0,2, ,2,1
40288, ,2,2,5,2,2
40289,2, ,2,6,0,2
40290, ,1,0,7,3,2
40291,0,2,0,0,2,2
40292,1, ,2,3,0,2
40293,2,4,1,9,1,0
40294,2,3, ,3,0,1
40295,2,0,2,6,1,1
40296, ,3,0,2,1, 
40297,0,3,2,3,3, 
40298,0,3,1,2,3,0
40299,1,2,2,2,0,1
40300,2,2,0,7,0,2
40301, ,3,2,7,0,1
40302,2,4,1,9,0,1
40303,1,0, ,8,3,2
40304,2,0,2,9,0,2
40305,0, , ,10,3,1
40306, ,0,0,4,0, 
40307,1,3,0,8,3,1
40308,2,2,2,1,2,2
40309,2, ,2,8,1,1
40310,0,3,1,6,1,2
40311,1,0, ,4,3,0
40312,2,4,0,6,3,2
40313, ,4,0,0,2,2
40314,0, ,0,9,2,2
40315,1,2,1,7,0,2
40316, ,2,0,3,0, 
40317,1,2,0,7,0,2
40318,2,0,0,6, , 
40319,1,0,0,0, ,1
40320,2,1,1,1, ,1
40321,0,0,0,4,1,0
40322,1,4,0, ,0,0
40323,1,4,1,7,1,2
40324,2,1,0,7,1,0
40325,0, ,2,9,2,0
40326,1, ,2, ,2,2
40327,2,1, ,2,2,1
40328,1,0,1,10,1,0
40329,2,4,0,4,3,0
40330,2,1,2, ,0,1
40331, ,4,2,7,2,0
40332,2,1,0,4,3,1
40333,2,3, ,10, ,0
40334,0,2,1,8,1,0
40335,0,3,2,3,1,0
40336,0, ,1,4,0, 
40337,2,2,1,5,1,2
40338,2,2,1,5,0,0
40339,2,0,1,10,1,1
40340,0, ,2,8,0,2
40341,2, ,1,1,3,2
40342,0,4, ,0,3,0
40343,0,3,2,2,2,2
40344, ,1,0,7,3,2
40345,1,3,1,10,2,1
40346,1,2,2,4,3,0
40347,0,3,1,4,2,2
40348,0,2,0,4,1,0
40349, ,3, ,4,2,0
40350,1,3,2,5,1,1
40351,0,1,2,9, ,2
40352,0,1,0,9,2,2
40353, ,3,2,6,1,0
40354,2, ,0,7,1, 
40355,2,4,1,7,2,1
40356,2,2,0,3,0,1
40357,0,1,0,2,1,0
40358,1,2,2, ,0,1
40359,0,1,2, , ,1
40360,2,4,1,8, ,0
40361,1,0,2,10,0,0
40362,1,0,1,6,1,1
40363,0,0, ,7,0,0
40364,0,2,1,8,1,0
40365,1,4,2,6,3,1
40366, ,1,1,7,2,1
40367,0,1,1,3,0,0
40368, ,3,2,4,0,1
40369,2,0,1,2,2,0
40370, ,0,2,9,1,2
40371, ,4,1,3,2,2
40372,0,1,0,3,2,1
40373,2,2,0,0,2,0
40374,0,3,1,8,3, 
40375,0,4,2,4,2,1
40376,1,0,1,5,3,2
40377,1,2,2,5,1, 
40378,1,0,1,4,0,0
40379,2,0,2,1,1,2
40380,2,3,1, , , 
40381,0, ,2,0,1,0
40382,2,1, ,8,0,2
40383, ,0,0,0,3,1
40384,0,3,1,0,2,1
40385,2,4,0,5,3,2
40386,0,2,0,8,3,2
40387,1,4,1, ,3,2
40388,1,1,0,1,0,2
40389,2,3, ,5,3,2
40390,1, ,2,3,0,0
40391,1,4,0,10, ,2
40392,0,0,0,8,3,1
40393,1,4,2,7,2,1
40394,1, ,2, ,1,1
40395,1,2, ,0,3,0
40396,1,3,0,3,0,2
40397, ,3, ,9,0,1
40398, ,0,1,10,2,0
40399,0,0,0, ,1,2
40400,0,2,0, ,1,1
40401,0,3,0,6,0,2
40402,2,1,1,6,2,2
40403,1,0,0,5,3,2
40404,0,0,1,10,2,2
40405, , ,0,3,3,2
40406,1, ,2,2,2,1
40407,0,0,0, ,0,0
40408,0, ,0,5,1,2
40409,0,4,1,9,3,2
40410,0,0,0,8,0,1
40411,1,4,2,2,1, 
40412,2,3,2,10,0,2
40413,2,0,2,2,0,1
40414,2,0,0,2,1,1
40415,0,1, ,5,2,1
40416,1,2,0,1,2,2
40417,2,3,2,5,3,2
40418,2,4,2,3,2,1
40419,1,3,0,7,0,1
40420, ,3,2,3,0,1
40421,1,1,0, ,0,1
40422,2,3,0,7,3, 
40423,2,4,0,0,1, 
40424, ,2,2,1,0,2
40425,2, ,0,7,1,1
40426,1,1,1, ,3,0
40427,2, , ,1,1,0
40428,0,1, ,4, ,1
40429,2,3,1,2,1,2
40430,2,1,2,4,2,2
40431,2,3,2,1,3,0
40432,1,3,1,2,1,2
40433, , ,0,0,3,2
40434,0,2,0,4,3,1
40435,2,2,0,6,3,1
40436,2,0,1,6,2,0
40437,0,4,1,2, ,0
40438,2,3,0,4,3,0
40439,0,4,2, ,2,0
40440,1,4,2,2,2,2
40441,1,4,1,0,0, 
40442,1,2,1,9,3,1
40443,1,4,1, ,1,1
40444,0,1,2,7,0,2
40445,2,3,2, ,2,0
40446,1,4,0,1,3,1
40447,1,4,0,5,2,2
40448,2, ,2,9,3,1
40449,0,3,1,7,0,2
40450,0,4,1,6,0,1
40451,1,2,0, ,1,2
40452,1,1,0,2,2,1
40453,2,4,1,7,0,0
40454,0,3,1,5,2,1
40455,2,3, ,4,2,0
40456,2, ,1,5,1,0
40457,0,3, ,9,0,1
40458,2,2,1,6,3, 
40459,1,4,1,10,0,0
40460,0,3,2,1,3,0
40461,1,0,2,4, ,1
40462, ,2, ,10,3,1
40463, ,3,0,8,2,0
40464,1,0,2,9,1,0
40465,0,1, ,2, ,1
40466,1,1,2,10,1,2
40467,0, ,1,0,3,1
40468,1, ,1,0,3,2
40469,0,2,0,1,1,0
40470,1,2, ,4,0,1
40471, ,1,2,8,2,2
40472,0,0,2,7,3,0
40473,2,2,1,10,1,0
40474,0,3,1,2,1,0
40475,2,0,2,8,1, 
40476,0,0,1,10,0, 
40477,1,1,2,6,2,2
40478,1,4,2,7,1,2
40479,1,4,2,1,2,0
40480, ,2,2,4,3,0
40481,0,4,2,2,1,2
40482, ,1,0,6,3,0
40483, ,0,1,8,3,1
40484,1,0, ,3,3,0
40485,2,0,0,3,2,1
40486,1,3, ,3,2,0
40487,1,0,0,1,0,0
40488,1,1,1,6,0,0
40489,0,4,2,8,0,1
40490,1,3, ,1,1,2
40491,0,1,2,3,3,1
40492, ,3,1, ,3,2
40493,0,2,1,6,1,2
40494,0,2,1,8,0, 
40495,0,1, ,0,1,2
40496,2,0,0,8,1,1
40497,2,3,0, ,2, 
40498,0,1,2,9,2,0
40499,0,4,2, ,0,2
40500,1,2,1,0,3, 
40501,0,4, ,9,0,2
40502,2,3,1,3,2,1
40503,2,3,0,3,2,1
40504,2,2,1,2,0,0
40505,2,0,1, ,3,0
40506,0,0,2,2,2,0
40507,1,1,1,2,0,2
40508,0,2,1,10,1,0
40509,0,1,2,9,1,2
40510,1,0,0,8,1,1
40511,2,1,0,3,2,1
40512,2,2,1,3,2,2
40513,1,0,0,0,3,1
40514,1,2,0,0,1,0
40515,1,2,2,1,3,0
40516,2,0,1,3,3,1
40517,1,0,0,0,3,0
40518,0, ,1,9,0,1
40519,0,3,1,9, ,2
40520,2,4,2, ,3,2
40521,0,4,2,1,0,1
40522,2,1,2,4,1,2
40523,2,0,0,4,1,2
40524,0,1,2, ,3,2
40525,1,0,2,9,0,1
40526,0,3,2,0,1,1
40527,1,3,0,6,2,2
40528,1,4,2,8,1, 
40529,2,3,0,8,0,2
40530, ,0,1,5,0,0
40531,1,1,0,8, ,2
40532,2,0,2,1,3,0
40533,2,1, ,4,3,0
40534, ,4,2,3,3,2
40535,1, ,1,4,2,2
40536,0,0,1,4,3,0
40537,1,1,1,8,1,2
40538, ,4,2,2,3,2
40539,0,3,2,3,2,1
40540,1,2,2,4, ,1
40541,0,3,1,0,0,2
40542,1,2,2,7,0,1
40543, ,0,1,4,0,0
40544,2,0,1,5,2,2
40545,2,0,0,2,0,1
40546,1,3,2,4,0,2
40547,0,4,1,5,3,2
40548,0,4,2,2,3,2
40549,0,3,1,0,1,1
40550,1,3,0,6,2,0
40551,2,0,0,4,0,0
40552,0,0,0,1,3,1
40553,0,2,0,6, ,0
40554,0,2,0,0,2,2
40555,2,2,2,8,3,0
40556,0,2,0,4,1,0
40557,2,4, ,8,0,0
40558,0,1,2,6,0, 
40559,1,4,1,2,0,0
40560,0, ,0,0,0,0
40561,2,3,0,8,1,2
40562,2,1,1,3,3,2
40563,1,4,2,4,1,1
40564,2,3,2,7, , 
40565,2,2,1,9,3, 
40566, ,3,0, ,0, 
40567,0,4,0,9, ,2
40568,0,4,1,1,3,0
40569,0,4,0, ,2, 
40570,1, ,2,1,3,1
40571,0,3,1,7,3,2
40572,2,1, ,6,1,0
40573,0,3,2,3,2,0
40574,2,2, ,6,1,0
40575,2,1,0, ,2,0
40576,1, ,1,10,1,1
40577,0,1, ,9,0,2
40578,1,4, ,0,2,2
40579,2,0, ,10,1,1
40580,1,1,1,5,1,2
40581,0,2,0,4,1,2
40582,1,4,2,2,2,1
40583,1,2,0, ,3,0
40584,1,2,0,7, ,2
40585,1,4,2,5,2,2
40586,2,4,0,10,1,1
40587,0,3,0, ,2, 
40588, ,1,1,10,0,0
40589,2,3,1,10,2,2
40590, ,3,0,1,2, 
40591,0,1,0, ,1,2
40592,2,1,2,1,3,1
40593,2,0,2,4,0,1
40594,0,3,2,1,3,1
40595,2,2,1,8,3,1
40596,2,3,0,3,0,0
40597,0,1,1,4,2,2
40598,0,3,0,2,3,1
40599,1,0,0,1,1,1
40600,2,3,1,4,3,1
40601,1,0, ,9,3,1
40602,0, ,2,5,0,2
40603,0,2,0,6, ,1
40604,0,1,2, ,3,2
40605,1,2,2, ,2,2
40606,2,4,1,10,2,2
40607,0,2,0, ,3, 
40608, ,1,1,0,1,2
40609,2, ,2,5,0,0
40610, ,0,0,6, , 
40611,1,0,0,9,0,0
40612,1,3,2,3,1, 
40613, ,4,1,3,1,1
40614,0,0,0,1,2,1
40615,2,1,2,2,3,0
40616,1,3, ,9,0,2
40617,0,2,0,3,0,2
40618,2,0,2,0,2,1
40619,1,4,0,3,2,1
40620,2,3,0,7,1,0
40621,2,4,2,4,3,0
40622,1, ,1,8,0,1
40623,0,1,0,10,2,0
40624,0, ,1,2,3,0
40625, ,2,0,7,1,2
40626,1, ,2,9,0,1
40627,2,4,1,3,3,2
40628,1, , ,10,1,1
40629,0,1, ,4,0,0
40630,2,1,1,9,2, 
40631,1,2,2,0,0,0
40632,0,3,0, ,0,0
40633,1,4,0,9,0,2
40634,2,4,2,7,2,2
40635,0,1,1,2,2, 
40636,0,3,0, ,3,1
40637,0,3,2,3,0,1
40638,2,0,2,10, ,0
40639,2,3,0,8,1,2
40640, ,3,1,3,1,0
40641,2,2,1,3,3,2
40642,0,1,1,9,0,2
40643,1,2,0,7,0,1
40644,1, ,0,0,0,1
40645,0,0,2,4,3,0
40646,1,1,2,1,3,2
40647,2, ,0,7, ,2
40648,2, ,2,6,3,0
40649,1,3,0,3,2, 
40650,2,3,0,9,3,0
40651,2,1,1,4,1,1
40652,2, ,1,10,1,2
40653,2,2,0,7,3, 
40654,1,0,0,4,2,0
40655,2,3,1,6,1,2
40656,2,4, ,7, ,1
40657,1,2,2,2, ,1
40658,1,3,2,0, ,1
40659,1,2,2,7,0,0
40660,2,3,0,8, ,2
40661,1,2,2, ,3,0
40662,2, ,1, ,3,0
40663,0,4,1,7,2,1
40664,1,4,0,2, ,2
40665,1,3,0,4, ,1
40666,0,0,2,10,3,1
40667,2, ,2,4,3,1
40668,2,1,2,10,0,0
40669, ,4,2,10,0,1
40670,1,2,1, , ,0
40671,2,0,0,10,0,2
40672,2,4,1,7,3,0
40673,1,1,2,10,3,1
40674, ,1,2,5,3,1
40675,0,1,2,1,2,0
40676,0, ,0,7,3,0
40677,0,4,0,3,2,1
40678,1,1,0,8,3,1
40679, ,3,0,1,3,1
40680,1,2,1,7,2,1
40681,0,3,2,10,3,2
40682,2, ,1,6,3,1
40683,1,0, , ,0,0
40684,2,3,2,4,3,2
40685, ,3,0,8,3,1
40686,1,2,0,6,1,0
40687,2,3,0, ,0, 
40688,0,1,0,2,0,2
40689,1,2, ,0, , 
40690, ,4,1, ,3,1
40691,0,3,0,6,2, 
40692,0,2,2,8,3,1
40693,0,3,2,4,2,1
40694,0,2,2,1,0,1
40695,0,1,1,3,3,1
40696, ,0,2, ,1,1
40697,1,2,1,0,1,0
40698,0,0,0,1,0,1
40699,2,4,1, ,3,0
40700,0,2,1,3,2,1
40701,0,2,2, ,3,1
40702,1,0,1,8,1,0
40703,1,4,0,9,1,0
40704,2,0,1,6,0,0
40705,2, ,1,10,2,1
40706,1,1,1,5,1,2
40707,1,4,1,9, ,1
40708,0,3,0,1,1,2
40709,1,2, ,10, ,0
40710,2,3, ,3,3,0
40711,0,4,0, ,0,0
40712,1,2,1,0,2,1
40713,0,0,0,5,3,0
40714,0, , ,9,0,0
40715,2, ,1,5,3,2
40716,0,1,2,6,1,0
40717,2, ,1,3, ,0
40718, ,4,1,9,1,1
40719,1,4,0,9, , 
40720,1,0,2,3,1,1
40721,0,4,1, ,3,1
40722,0,3, ,9,3,1
40723,0,1,1, ,1,1
40724,1,4,0,2, , 
40725,2,1,1, ,1,1
40726, ,4,2,3,3,2
40727,1,0,1,0,3,1
40728, ,2,1,0,0,2
40729,0,1,1,6,0,2
40730,1,0,0,9,1,2
40731,0,2,1,10,2,1
40732,0,4,0,10,2,1
40733,0,4, ,6,1,2
40734,0,1, ,10,3,2
40735,0,2, ,1,3,1
40736,2,1, ,1,0,1
40737,2,1,0,7,3,0
40738,2,2,1,2,3,0
40739,0,3,1,0,1,1
40740,0,4,0,10,3,2
40741,0,2,1,6,0,2
40742,0,2,1,8,3, 
40743,2,2,1,5,3,1
40744,2,1,0,6,1,1
40745,0,3,1,4,2,1
40746,0,0,2,1, ,1
40747,0, ,2,6,3,0
40748,0,2,2,3,3,1
40749, ,4,2,5,2,1
40750,1,0,2,7,2,2
40751,2,0,0,6, , 
40752,0,3,2,5,0,2
40753, ,3,1,1,2, 
40754,1,0, ,1,1,2
40755,1,2,0,2,1,1
40756,1,0,0,8,0,0
40757, , ,1,3, ,2
40758,0,1,1,10,0,2
40759,0, ,1,8,2,1
40760,0,1,2,7,2, 
40761,2,3,0,5,3,2
40762,0,1,1,10,1,1
40763,2,0,1, ,1,0
40764,1,2,0,4,2,1
40765,0,1,2,8,3,0
40766,2,1, , ,0,1
40767,1,3,1,3,0,2
40768,1,2,0,4,1,2
40769,1,0,1,0, ,0
40770,2,3,0,5,1, 
40771,2, , ,9,0,0
40772,0,2, ,7,2,2
40773,0,3,1,4, ,1
40774,1,2, ,6, ,2
40775,0,1,2, ,2,1
40776,1,2,2, ,3,0
40777,1,0,1,8, ,2
40778,1,2,0, ,1,1
40779,1,4,2, , ,0
40780,2, ,2,6,1,0
40781,1,1,2,7, ,0
40782,0,0,0,2, ,1
40783,2,4,2,6,1,2
40784,1,3,1,5,2,1
40785, ,1,1,1,1,0
40786,0,2,1,9,3,2
40787, ,2,2,6, ,2
40788,2, , ,0,0,0
40789,1,2,1,2,0,2
40790,0, ,0,8,3,1
40791,1,3,1,1,0,0
40792,0,2,1, ,2, 
40793,2,1,0,8,1,2
40794,1,3,0,2,3,0
40795,1,4,0, ,1,1
40796,0,0,0, ,0,0
40797,0,2,2,0,0,2
40798,1,3,2,2,0,2
40799,0,3,1,1,1,1
40800,0,2,0,10,1,0
40801,1,4,1,0, ,2
40802,2,0,2,9,1,0
40803,0,2,0,9,2,1
40804,1,3,1, , ,1
40805,0, ,1,1,2,0
40806,1,4,2,7, ,0
40807,2, ,1,7,2, 
40808,0,0,0,3,3,2
40809,0,2,0,2,0,1
40810,1, ,2,3,3,1
40811,1,0,1,8,0,0
40812,0,4,2,7,2,2
40813,1,0,0,6,3,2
40814, ,4,1,5,1, 
40815,1, ,2,8,0,1
40816,0,3,1,10,0,0
40817, ,1, ,10,3,0
40818, ,0,2,2,1,0
40819,1,3,0,3,1,2
40820, ,3,0,1,2,0
40821,1, ,2,10,2,2
40822,2,1,0,5,1,2
40823,1,4,0,5,1,1
40824,0,0,1,5,3,1
40825, ,0,0, ,3,2
40826, ,3,0,4, ,2
40827,1,0, ,4,0,0
40828,2,4,2,0,1,0
40829,1,4,0,5, ,2
40830,2,0,0,6,3,0
40831,1,4,0, ,1,2
40832,0,4,2,7,0,1
40833, ,2,2,6,0,1
40834,2,2,1,0,1,2
40835,0,1,1,3,1,1
40836,1,1, ,7,2,0
40837, ,4,2,0,0, 
40838, ,3,0,9,3,2
40839,0,1,1,1,2,2
40840,1,3,0,1,0,2
40841,2, , ,6,3,0
40842,2,0,0, ,3,2
40843,2,4,2,5,1,1
40844,2,2,1,10, ,1
40845,1,4,0,3, ,1
40846, ,0,0,5,0,2
40847,1,0,0, ,2,1
40848,0,2,2,5,0, 
40849, ,1,1,6, ,2
40850, ,4,2,2,1,2
40851,0, ,2,10,1,1
40852,0,4,1,5,1,0
40853,2,3,1,2,0,1
40854,1,0,2,8,2,2
40855,0, ,2,6,0,1
40856,2, ,2,8,3,1
40857,2,1,0,10,3,0
40858, ,1,1,7,0,2
40859,1,4, ,4,2,1
40860,1,0,1,9,1,0
40861,1,1,1,8,0,1
40862,1, ,1,8, ,2
40863,2,1,1,3, ,1
40864,2,2,1,9,1, 
40865,1,2,2,7,0,0
40866,2,2,1,0,3,2
40867,2,1,2,6,0, 
40868,0,2,0,4,3,0
40869,0,2, ,10, ,0
40870, , ,0,0,2,0
40871,0,2,0,6,0,2
40872,1,1,2, , ,0
40873,1,4,2,0,2,0
40874,2,0,0,1,1,1
40875,1, ,1,6,2,0
40876,0, ,1,10, , 
40877,2,1,2, ,2, 
40878,0,4,1,3,2,0
40879,0,1,2,6,0,1
40880,2,1,1, ,1,1
40881,0,2, ,4,3,0
40882,2,0,1,0,2,2
40883,1,3,2,0,3,2
40884,0,0,2,2,1,2
40885, ,1,1,3,1,1
40886,2,2,1,0,3,1
40887,1,4,1,3,3,2
40888,1,1,1,8,1,2
40889,0,4, ,0, ,1
40890,0,0,0,8,2,0
40891,1,0,1,1,3, 
40892,0,3,0,5,2,2
40893,0,1,0,0,3,0
40894,2,2,0,9, ,0
40895, ,1,1,5,1,0
40896,1,0,0,2,2,2
40897,2,2,0,10,0,0
40898,0,2,2,6,0,2
40899,2,2, ,8,0,2
40900,2,1, ,8,0,1
40901,1,4,0,3,3,2
40902,1,4,1,2,0,2
40903,2,0,1,3,3,1
40904,2,4,0,7,2,2
40905,2,4,2,8,1, 
40906,2,3, ,2,1,2
40907,0,0,1, ,2,1
40908,0,2,1, ,0,1
40909,2,1, ,6,3,2
40910,1,3,0,10,3, 
40911,1,1,1,0,1,1
40912,1,1,0,3,2,0
40913,2,3,0,0,3,1
40914,2,0,0,7,1,2
40915,2,0,0,10,3,2
40916,2,0,1,1,2,1
40917,0,4,2,3,0,0
40918,2,1,0,9,3,2
40919, ,2,0, ,2,1
40920,2, ,0,4,2,2
40921,2,2,1,6, ,1
40922,2,4,2,6,2,0
40923,2,3,1,9,1, 
40924,1,0,1, ,0,0
40925,2,4,2,1,0,2
40926,1,2,2,9, ,0
40927,1,2,0,6,3,1
40928,0,4, ,10,0,2
40929,2,0,1,8,3,0
40930,1,4,1,0,2,1
40931,1,2,2,3,0,2
40932,2,0,0,7,3,1
40933,0,0,1,6,1,0
40934,0,4, ,9,1,0
40935,0,3,2,2,1,1
40936,0,2,2,9,1,2
40937,1,1,1,2, ,2
40938,1,3,0,6,1,0
40939,2,0, ,0,1, 
40940,1,1,0,6,3,0
40941,0,4,0,5, ,0
40942,0,0,2,6,3,1
40943,0,1, ,10,2,2
40944,2,2,1,1,0,0
40945,1,3,0,4, ,1
40946,0,1,2,2,0,2
40947,2,1,0,10,3,2
40948,2,3,1,2,1,2
40949,1,2,0,1,1,2
40950,2,4,2,1,3,0
40951, ,0,1,7,3,1
40952, ,0,1,10,1,2
40953,1,3,0,0,2,2
40954,2,3,2,1, ,2
40955,1,3,1,6,3,0
40956,0,3,1, ,1,0
40957, ,2,0,1,1,1
40958,1,1, ,7,0,0
40959,2,2,2,8,3,1
40960,2,2,2, ,0,0
40961,2, ,2,0,2,1
40962,1,3,1,1,2,2
40963,1,0,0,2,0, 
40964,0,0,1,3,0,2
40965,1, , ,4,3,2
40966,0,3,2,3,0,2
40967,1,0,2,6,3,1
40968,1,2,2,9,3,1
40969,0,4,1,3,1,2
40970,0, ,0,5,3,0
40971,1,2,2,8,2,1
40972,0,1, ,7,1,0
40973,2,1,0,4,3,1
40974,0,0, ,8,2,2
40975,2,0,0,5,2,1
40976,0,4,1, ,3,1
40977,2,0,0,9,2,1
40978,1,2,0,9, ,1
40979,2,1,2,10,1, 
40980,0,0,0, , ,2
40981,0,0,2,8,0,2
40982,2, ,0,2,1,2
40983,2,4,0,7,3,1
40984,2,3,1,2,2,0
40985,0,1,0,10,0, 
40986,2, ,2,6, ,2
40987,0,0,0,9,0,2
40988,1,3,0,10,2,2
40989,2,2, ,6,3,2
40990,1,1,1,10,1,1
40991,2,4,0, ,1,1
40992,1,1,2,1,1,0
40993,2, , ,8,0,1
40994,2,0,0,3,2,1
40995,2, ,0,2,1,0
40996,0, ,1,2,3,0
40997,1,0,2,7,1, 
40998,2,3,0,5,2,1
40999,2,0,1,3,2,2
41000,1,1,0, ,3,0
41001,2,1,0,3,2,2
41002,2,3,1,6,3, 
41003, ,4,0, ,3,2
41004,2,0,0,2,1,1
41005,0,3,1,1,2, 
41006,1,3,2,10,2,0
41007,1,0, ,0,2,2
41008,1,3, ,1,3,0
41009,1,1,2, ,1,1
41010,2,1,0,9,2,2
41011,2,3,2,10,3,0
41012,1,0,0,5, ,1
41013,0,1,0,8,1,1
41014, ,4,1,6,0,1
41015,1,3,1, ,0,1
41016,2,0, ,9,0,2
41017, ,3,2,3,2,2
41018,1,0,1,6,1,2
41019,0,0,1,2,0,0
41020,1,0,2, ,2,1
41021,1,4,1,9,1,2
41022,0,0,1,1,2,1
41023,1,2,2,2,1,1
41024,2,0,0,5,2,2
41025,1, ,2,9,1, 
41026,2,2,2,6, ,1
41027,1,0,1,9,2,2
41028,2,3,1,8,1,0
41029,1,3,1,4,0,0
41030,2,0, ,7,0,1
41031,1, ,0,8,2,1
41032,2,4,2, ,1,0
41033,2,1,1,5,2,2
41034,1,2,0,1,2,1
41035,0,0,0,2,0,1
41036, ,1,1,0,2,2
41037,2,1,1,1,1, 
41038, ,0,2,4, ,0
41039,0,2,0,2,3,1
41040, ,0,2,6, ,0
41041,0, ,1, ,3,2
41042,0, ,1,3,3,2
41043,0,2,0, ,0,0
41044, ,3,2,5,3,0
41045,2,3, ,2, ,2
41046, ,0,1,7,3,2
41047,2,4,0,0,3,1
41048,0,2,2,4,2,1
41049,0,0,0,9,3,0
41050,2,1,2,8,3,1
41051,0,2,2,2, ,1
41052,2,0,1,6,1,0
41053,0,3, ,2,0,0
41054,0,2, ,6,0, 
41055,0,2,1,1,2,0
41056,2, ,2,10,0,1
41057,0,0,1,2,0,0
41058, ,2,1,10,3,1
41059,0,4,1,6, ,1
41060,1,0,1,7,1,1
41061, ,1,0,1,0,1
41062,2, ,0,7,3,0
41063,1,1,2,8,2,0
41064,0,0,2,7,3,0
41065,1,4,0,9,1,0
41066,1, ,0,6,3,1
41067,1, ,1,3,1, 
41068,0,1,1,9,0, 
41069,2,1,0,10,3,2
41070, ,4,2,8,2,1
41071,0,3,0,6,3,2
41072,1,0,1,3,1,0
41073,2,1,2,1,3,0
41074,2,3, ,8, ,1
41075,1,3,2,8,0,2
41076,2,0,0,2,2,0
41077,0,4,1,5,1,2
41078,1,1,1,6,3, 
41079, ,4,2,0,2,2
41080,0, ,2, ,3,0
41081,2,1,2, ,3,2
41082,2,2,1, ,3,0
41083,0,4,2,10,1,1
41084,0,4,1, ,3,0
41085,2,1,0,0,2,1
41086,2,2,0,3,3,1
41087,1,0,2,4,2, 
41088,2,3,0,6,3,1
41089,1,1,1,5,0,2
41090,0,4, ,5, ,0
41091,1,4,2, ,2,1
41092, ,4,1,7,3,2
41093,1,2,1,10,1,0
41094,2,4,1,2,1,0
41095,2,1,1,10,0,1
41096,2,2,0,8,2,1
41097, ,4,0,2, , 
41098,1,1,0,8,2,0
41099,1, ,2,9,0,0
41100,2,3,2,4,1,1
41101,1, ,0,0,2,2
41102,2,3, ,10, ,0
41103,2, ,1,4,2, 
41104,0,1,2,3,2,2
41105,0,2,0,6,3,2
41106,0,2,1,10,0,0
41107,2,4,0,2,1,2
41108,0,2,0,0,0,2
41109, , ,0,5,1,2
41110,1,4,2,8,0,2
41111,0,0, ,5,3,0
41112,0,1,2,6,3,2
41113,1,3,0,5,3,2
41114,0,3,1,3,1,2
41115,2, ,1,2,3,1
41116,1,3,0,1,0, 
41117,0,2,2,9,1,0
41118,1,4,2,7,2,0
41119,1,0,0,6,2,0
41120,0,2,0,7,3,2
41121,1, , ,9,3,0
41122,2,3,1,0,0,0
41123,0,3,0,5,1,2
41124,1,2,0,6,3,1
41125,1,1,2,2,2,2
41126,2,4,2,5,2,2
41127,2,3,1,2,1, 
41128,0,1,0,0,3,0
41129,2,3,1,6,3,0
41130,2,2,2,10,3,1
41131,2,4,0,5,3,2
41132,1,0,2,0,1,2
41133,1,0,0,9,3,1
41134,0, ,2,9,3,0
41135,2,1,2,9,3,2
41136,2,4, ,0,2,2
41137,2,4,1, ,1,2
41138,1,2,0,9,1,2
41139,2,2, , ,1, 
41140,0,2,1,10,0,2
